epoch,train_cost,train_max_acc,train_acc,test_cost,test_max_acc,test_acc
1,306.6449894160032,80.0,49.6875,5.045287251472473,75.0,51.25
2,20.080768704414368,75.0,51.0625,5.03740057349205,75.0,49.5
3,20.04617378115654,70.0,50.875,5.006231874227524,70.0,51.25
4,20.09507617354393,70.0,48.75,5.05574506521225,65.0,48.5
5,19.985023334622383,75.0,50.75,5.028460845351219,70.0,52.25
6,19.870857566595078,75.0,53.75,5.080029979348183,70.0,48.5
7,15.69124523550272,100.0,64.8125,2.0660773776471615,100.0,92.25
8,6.9735720520839095,100.0,90.1875,1.547002337872982,100.0,93.5
9,3.8075579104479402,100.0,96.125,0.7224050170043483,100.0,96.75
10,3.630684626288712,100.0,96.375,1.772830699570477,100.0,90.5
11,2.9026282195700333,100.0,97.4375,0.780498729669489,100.0,96.75
12,2.5092119514010847,100.0,97.8125,0.5040309785399586,100.0,97.75
13,2.3619184632552788,100.0,98.5,0.3871665153419599,100.0,98.25
14,1.7796789683634415,100.0,98.625,0.5568523534457199,100.0,98.25
15,2.352888667024672,100.0,98.5625,0.3379751209868118,100.0,99.25
16,1.6441796065191738,100.0,99.1875,0.27683698787586764,100.0,99.25
17,2.460291523428168,100.0,97.6875,0.44525524228811264,100.0,98.0
18,2.1659071766771376,100.0,99.0,1.1759186340495944,100.0,97.5
19,1.3429893819848076,100.0,99.5,0.5599953136406839,100.0,99.25
20,1.8876541899517179,100.0,99.1875,0.7161961839301512,100.0,98.0
21,1.794617211446166,100.0,98.9375,0.3255254190880805,100.0,98.5
22,1.491017238528002,100.0,99.4375,0.7104689332190901,100.0,96.0
23,1.3517540718894452,100.0,98.9375,0.3729975172318518,100.0,98.75
24,1.8978812437853776,100.0,98.125,1.5146369049325585,100.0,93.0
25,4.260332155972719,100.0,94.375,0.9250745950266719,100.0,98.5
