epoch,train_cost,train_max_acc,train_acc,test_cost,test_max_acc,test_acc
1,286.74840111099184,100.0,81.0625,1.569317352026701,100.0,93.5
2,3.3021842590533197,100.0,98.0,0.9007442686706781,100.0,98.5
3,1.8179606767371297,100.0,99.25,0.2159205572679639,100.0,100.0
4,1.0114678230602294,100.0,99.6875,0.12263773183804005,100.0,99.75
5,0.6174441964249127,100.0,99.75,0.18775228084996343,100.0,99.75
6,0.43745956890052184,100.0,99.9375,0.14910607831552625,100.0,99.25
7,0.5046246170531958,100.0,99.6875,0.12388332292903215,100.0,99.5
8,0.3761944865982514,100.0,99.875,0.2391799280885607,100.0,99.5
9,0.3389425700297579,100.0,99.875,0.03232573653804138,100.0,100.0
10,0.4881545252574142,100.0,99.9375,0.04857112327590585,100.0,99.75
11,0.31045690388418734,100.0,99.875,0.08417167459265329,100.0,99.5
12,0.37750304577639326,100.0,99.875,0.3122848920756951,100.0,99.25
13,0.2678112307039555,100.0,99.875,0.06024886152590625,100.0,100.0
14,0.30109651839302387,100.0,99.9375,0.07031052245292813,100.0,99.75
15,0.1847117511642864,100.0,99.9375,0.05739313887897879,100.0,100.0
16,0.28091109717206564,100.0,99.875,0.03017952904338017,100.0,100.0
17,0.2559763099125121,100.0,99.875,0.023414600847900147,100.0,100.0
18,0.2842058986570919,100.0,99.9375,0.1181293991394341,100.0,100.0
19,0.4095589569915319,100.0,99.9375,0.046814766523311846,100.0,100.0
20,0.42838603848940693,100.0,99.75,0.10587971724453382,100.0,99.25
21,0.23109679032495478,100.0,99.9375,0.055454828252550215,100.0,100.0
22,0.39741020333894994,100.0,99.9375,0.06894652065238915,100.0,99.75
23,0.2966464323326363,100.0,99.875,0.046542824973585084,100.0,100.0
24,0.1459189663946745,100.0,99.9375,0.04148148372769356,100.0,100.0
25,0.16598057927330956,100.0,99.9375,0.022518383513670415,100.0,100.0
