epoch,train_cost,train_max_acc,train_acc,test_cost,test_max_acc,test_acc
1,283.87364747934043,100.0,83.8125,1.5291781220585108,100.0,89.25
2,3.3751972182653844,100.0,97.75,0.5132180340588093,100.0,99.25
3,1.1864753273548558,100.0,99.75,0.14457264833617955,100.0,99.75
4,0.5575331426225603,100.0,99.9375,0.10066819074563682,100.0,100.0
5,0.5163291525095701,100.0,99.9375,0.19594377686735243,100.0,100.0
6,0.48276703534065746,100.0,99.875,0.2631998955621384,100.0,99.75
7,0.49821562616853043,100.0,99.875,0.051921752135967836,100.0,100.0
8,0.6761308019049466,100.0,99.6875,0.4994364073500037,100.0,99.75
9,0.5425325353862718,100.0,99.875,0.04915283209993504,100.0,100.0
10,0.524610818218207,100.0,99.9375,0.0635309339268133,100.0,100.0
11,0.4111688729317393,100.0,99.875,0.03102516190847382,100.0,100.0
12,0.26354266781709157,100.0,99.875,0.09577562543563545,100.0,100.0
